30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
 4.3014437296639585e+00   3.1269070617910906e+00   2.4295731794432204e-01  -3.2768690467848166e-01
 4.1320096154851607e+00   3.0005860166125418e+00   2.5481135977524944e-01  -3.4400816276234869e-01
 4.0581468334413078e+00   2.9492076444465840e+00   2.6008565044202336e-01  -3.5126880124488430e-01
 4.0581468334413078e+00   2.9492076444465840e+00   2.6008565044202336e-01  -3.5126880124488430e-01
 3.9647784157667521e+00   2.8863600421618365e+00   2.6691119487563503e-01  -3.6065322028706687e-01
 3.7772988229040307e+00   2.7634434271992361e+00   2.8133476724841816e-01  -3.8041830894314105e-01
 3.5529550778068524e+00   2.6138774766678812e+00   3.0008118441915166e-01  -4.0596584900074245e-01
 3.3369856096067889e+00   2.4619721469234519e+00   3.1945435972213587e-01  -4.3225542353071378e-01
 3.1572087628994177e+00   2.3309736620273678e+00   3.3616664015251180e-01  -4.5489760621159836e-01
 3.0334639657124476e+00   2.2399115054840952e+00   3.4783958089004574e-01  -4.7070693037233952e-01
 2.9787654967012918e+00   2.1996150026086716e+00   3.5303283773495320e-01  -4.7773989853570409e-01
 2.9787654967012918e+00   2.1996150026086716e+00   3.5303283773495320e-01  -4.7773989853570409e-01
 2.9083898560661918e+00   2.1477798921091020e+00   3.5974300888788202e-01  -4.8682668438822474e-01
 2.7614869148311239e+00   2.0396470155375881e+00   3.7385181008233309e-01  -5.0593037947188702e-01
 2.5746450976717279e+00   1.9021138420015429e+00   3.9198384468071074e-01  -5.3047634572718905e-01
 2.3862114093814371e+00   1.7632526536073005e+00   4.1043946624827438e-01  -5.5545470705478073e-01
