90  60  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-03   3.3333333333333335e-05   3.3333333333333334e-08  ! rhol, rhog, mul, mug
 6.6666666666666670e-05   6.6666666666666670e-05   9.2222222222222233e-02   4.7619047619047619e-04  ! f1, f2, g, sigma
 1.0000000000000000e+00  ! alpha
 7.5891076682694115e-03  -1.7775182167573941e-01  ! gamma
-4.6110198442996386e-01   8.8734714737511233e-01  ! a
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U1 = 1.0 + A*y + B*y^2
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U2 = 1.0 + A*y + B*y^2
 7.9171666945711616e-01  -1.4499297219454665e+00  -1.8623977619744475e-01  -8.4215382078830628e-02
 7.7010568626344833e-01  -1.4290926042545444e+00  -1.9441236276319199e-01  -8.8647885216829328e-02
 7.5529004809798095e-01  -1.4131934986565631e+00  -2.0032068950805035e-01  -9.1818358977674971e-02
 7.4882322814486268e-01  -1.4057859996894615e+00  -2.0300448834572199e-01  -9.3250306197708507e-02
 7.4882322814486391e-01  -1.4057859996894635e+00  -2.0300448834572193e-01  -9.3250306197708632e-02
 7.4132074192297281e-01  -1.3968028334704603e+00  -2.0621439312590983e-01  -9.4956956101031331e-02
 7.2601272899746272e-01  -1.3770497715033256e+00  -2.1315098776385993e-01  -9.8625691236877269e-02
 7.0745370654549333e-01  -1.3501840904261888e+00  -2.2246359686212810e-01  -1.0351912157896460e-01
 6.8998852838838720e-01  -1.3215452995200367e+00  -2.3244980349020422e-01  -1.0874101746389503e-01
 6.7623191644050473e-01  -1.2965302091112372e+00  -2.4138917453963510e-01  -1.1340525925087136e-01
 6.6722628738171663e-01  -1.2790462471827686e+00  -2.4782959304677163e-01  -1.1676450455573795e-01
 6.6334874902076391e-01  -1.2712866750799141e+00  -2.5075053883258469e-01  -1.1828842670420722e-01
 6.6334874902076391e-01  -1.2712866750799141e+00  -2.5075053883258469e-01  -1.1828842670420722e-01
 6.5885913088851922e-01  -1.2621591545966477e+00  -2.5424122586015652e-01  -1.2011020549955674e-01
 6.4960574270731808e-01  -1.2430003037660939e+00  -2.6177721779565066e-01  -1.2404624729738789e-01
 6.3785421509285067e-01  -1.2184247588657822e+00  -2.7188765158236933e-01  -1.2933461273506308e-01
 6.2571703036170845e-01  -1.1933226289260643e+00  -2.8273175393810068e-01  -1.3501633077183123e-01
 6.1502503446319245e-01  -1.1717108833273255e+00  -2.9244663213807653e-01  -1.4011313811982881e-01
 6.0736197078879983e-01  -1.1565224234106519e+00  -2.9945063828072938e-01  -1.4379049920753106e-01
 6.0389322031179427e-01  -1.1497187710714096e+00  -3.0262829993362317e-01  -1.4545943601175124e-01
 6.0389322031179427e-01  -1.1497187710714096e+00  -3.0262829993362317e-01  -1.4545943601175124e-01
 5.9975327738675543e-01  -1.1416477507961091e+00  -3.0642644180778617e-01  -1.4745459355063417e-01
 5.9084075207224673e-01  -1.1244142494235725e+00  -3.1462741376002995e-01  -1.5176345682970011e-01
 5.7896278714737492e-01  -1.1016321962393321e+00  -3.2562802066384927e-01  -1.5754441926918311e-01
 5.6636522024369795e-01  -1.0775573012591877e+00  -3.3741639873284002e-01  -1.6374011584653006e-01
 5.5522628640194127e-01  -1.0562733464521195e+00  -3.4796140016960941e-01  -1.6928281166760037e-01
 5.4728258806980312e-01  -1.0410846529080160e+00  -3.5555191157539862e-01  -1.7327287983051964e-01
 5.4370151744441608e-01  -1.0342348045186189e+00  -3.5899194828257142e-01  -1.7508128818569491e-01
 5.4370151744441608e-01  -1.0342348045186189e+00  -3.5899194828257142e-01  -1.7508128818569491e-01
 5.3943898856356565e-01  -1.0260798283086086e+00  -3.6310046802155449e-01  -1.7724120285250605e-01
 5.3029691856726335e-01  -1.0085859886777120e+00  -3.7195901656242403e-01  -1.8189862968785278e-01
 5.1815160249875614e-01  -9.8534488393694286e-01  -3.8381308227053706e-01  -1.8813173719632822e-01
 5.0526362081151954e-01  -9.6068827437541826e-01  -3.9647743797403218e-01  -1.9479190511374256e-01
 4.9382852488582168e-01  -9.3881706880696625e-01  -4.0777022499663418e-01  -2.0073163219497817e-01
 4.8564392203768025e-01  -9.2316573625171106e-01  -4.1587700610756301e-01  -2.0499610310197144e-01
 4.8194602164164074e-01  -9.1609495760298409e-01  -4.1954472464959858e-01  -2.0692560000878069e-01
 4.8194602164164074e-01  -9.1609495760298409e-01  -4.1954472464959858e-01  -2.0692560000878069e-01
 4.7753802146412688e-01  -9.0766690907620129e-01  -4.2391989047220313e-01  -2.0922738198483434e-01
 4.6806204968829518e-01  -8.8955080083313598e-01  -4.3333324152654895e-01  -2.1418018725174287e-01
 4.5543232719978860e-01  -8.6540933767509398e-01  -4.4588480414389181e-01  -2.2078507050761406e-01
 4.4198681799376260e-01  -8.3971380085303449e-01  -4.5923418800203736e-01  -2.2781095851090166e-01
 4.3002397894015404e-01  -8.1685669593681043e-01  -4.7108213762160983e-01  -2.3404766762590384e-01
 4.2144396913935145e-01  -8.0046610668008567e-01  -4.7955329956294523e-01  -2.3850746129761838e-01
 4.1756278969328348e-01  -7.9305266501181215e-01  -4.8337612357110848e-01  -2.4052022420286631e-01
 4.1756278969328348e-01  -7.9305266501181215e-01  -4.8337612357110848e-01  -2.4052022420286631e-01
 4.1293265589870592e-01  -7.8420936892493087e-01  -4.8792814736891993e-01  -2.4291705836829192e-01
 4.0296606901515958e-01  -7.6517649317259495e-01  -4.9769098253522454e-01  -2.4805812101449926e-01
 3.8965579132038380e-01  -7.3976436246565447e-01  -5.1063952902742826e-01  -2.5487786616498687e-01
 3.7545384706843482e-01  -7.1265790774407134e-01  -5.2431897636075042e-01  -2.6208396045306193e-01
 3.6279130642934654e-01  -6.8849696414025041e-01  -5.3637461593748392e-01  -2.6843588357176684e-01
 3.5369425744902511e-01  -6.7114362780507564e-01  -5.4494189644936519e-01  -2.7295055954058428e-01
 3.4957503974357829e-01  -6.6328713850991039e-01  -5.4879310818140337e-01  -2.7498021847623438e-01
 3.4957503974357829e-01  -6.6328713850991039e-01  -5.4879310818140337e-01  -2.7498021847623438e-01
 3.4548456019544888e-01  -6.5548623733610045e-01  -5.5259913246986814e-01  -2.7698618411068865e-01
 3.3665015848548113e-01  -6.3864093351547013e-01  -5.6075361717009431e-01  -2.8128441752998345e-01
 3.2479080547347877e-01  -6.1603352327614758e-01  -5.7154900155726229e-01  -2.8697554947842252e-01
 3.1206229190355816e-01  -5.9177679109366499e-01  -5.8292475925649323e-01  -2.9297375686532601e-01
 3.0065025412926827e-01  -5.7003561072111220e-01  -5.9292118332687638e-01  -2.9824564209247528e-01
 2.9241556562126758e-01  -5.5435162398448146e-01  -6.0000613771202060e-01  -3.0198265260770391e-01
 2.8867704512273712e-01  -5.4723225772495798e-01  -6.0318534894939713e-01  -3.0365970728483305e-01
 2.8867704512273712e-01  -5.4723225772495798e-01  -6.0318534894939713e-01  -3.0365970728483305e-01
 2.8558475333017647e-01  -5.4134404747171128e-01  -6.0579682976221572e-01  -3.0503735421435663e-01
 2.7888007479442856e-01  -5.2857891923151645e-01  -6.1140089510011064e-01  -3.0799392141027582e-01
 2.6982472648611111e-01  -5.1134187259349750e-01  -6.1883866969815471e-01  -3.1191839906977437e-01
 2.6003762369717243e-01  -4.9271650179704324e-01  -6.2669966933062338e-01  -3.1606681498800210e-01
 2.5120468158257214e-01  -4.7591102617666492e-01  -6.3362754870158089e-01  -3.1972335762470977e-01
 2.4479787292931099e-01  -4.6372389880577103e-01  -6.3854919700074853e-01  -3.2232133595594004e-01
 2.4188022942462753e-01  -4.5817458140381551e-01  -6.4076082083671926e-01  -3.2348887122290360e-01
 2.4188022942462753e-01  -4.5817458140381551e-01  -6.4076082083671926e-01  -3.2348887122290360e-01
 2.3946274547716193e-01  -4.5357687590750367e-01  -6.4257897396603569e-01  -3.2444873290813797e-01
 2.3420836472991993e-01  -4.4358478451776867e-01  -6.4648513355094650e-01  -3.2651105408753661e-01
 2.2708446471599314e-01  -4.3003962361763187e-01  -6.5167909572758276e-01  -3.2925358143032057e-01
 2.1935049650637345e-01  -4.1533725824400175e-01  -6.5718085307859531e-01  -3.3215900562652967e-01
 2.1234076234696342e-01  -4.0201412414205095e-01  -6.6204025995391147e-01  -3.3472554514429098e-01
 2.0723921636019538e-01  -3.9231925987994914e-01  -6.6549871808597005e-01  -3.3655236023949431e-01
 2.0491130672430907e-01  -3.8789575433274937e-01  -6.6705457054627715e-01  -3.3737424322466092e-01
 2.0491130672430907e-01  -3.8789575433274937e-01  -6.6705457054627715e-01  -3.3737424322466092e-01
 2.0298027513655836e-01  -3.8422658842494495e-01  -6.6833444056047975e-01  -3.3805036434956415e-01
 1.9877645581219586e-01  -3.7623947564437660e-01  -6.7108668131654214e-01  -3.3950438251829895e-01
 1.9306245851962292e-01  -3.6538436632219679e-01  -6.7475178829152849e-01  -3.4144085219760123e-01
 1.8684082855468012e-01  -3.5356655715982560e-01  -6.7864116388915474e-01  -3.4349605123712212e-01
 1.8118587997526808e-01  -3.4282663028963778e-01  -6.8208274313657791e-01  -3.4531484209704316e-01
 1.7706109192841785e-01  -3.3499367720784767e-01  -6.8453587810160932e-01  -3.4661139273544567e-01
 1.7517636993652430e-01  -3.3141484316227116e-01  -6.8564051707484019e-01  -3.4719526168817583e-01
 1.7517636993652430e-01  -3.3141484316227116e-01  -6.8564051707484019e-01  -3.4719526168817583e-01
 1.7361178888953796e-01  -3.2844402916506454e-01  -6.8654971073641902e-01  -3.4767584322755091e-01
 1.7020208304129586e-01  -3.2197006709604759e-01  -6.8850640553495002e-01  -3.4871016722800507e-01
 1.6555964760936370e-01  -3.1315632316715608e-01  -6.9111550550324496e-01  -3.5008947718162298e-01
 1.6049483774297399e-01  -3.0354171230301114e-01  -6.9388870548962911e-01  -3.5155569651310536e-01
 1.5588267597112213e-01  -2.9478727937443844e-01  -6.9634664285146075e-01  -3.5285537666986799e-01
 1.5251348326853728e-01  -2.8839268864475182e-01  -6.9810107243883857e-01  -3.5378315103322172e-01
 1.5097263874766056e-01  -2.8546837810211756e-01  -6.9889177319447382e-01  -3.5420131272269739e-01
 1.5097263874766056e-01  -2.8546837810211756e-01  -6.9889177319447382e-01  -3.5420131272269739e-01
 1.4969288107587483e-01  -2.8303964530846798e-01  -6.9954290278871478e-01  -3.5454567412820664e-01
 1.4690190750818777e-01  -2.7774313816915935e-01  -7.0094524472715380e-01  -3.5528736478662781e-01
 1.4309762721527641e-01  -2.7052413455213792e-01  -7.0281743348312242e-01  -3.5627763722415456e-01
 1.3894180533121153e-01  -2.6263867343237507e-01  -7.0481037919355660e-01  -3.5733189193547699e-01
 1.3515266564025299e-01  -2.5544953536538711e-01  -7.0657951497509075e-01  -3.5826785306783476e-01
 1.3238195248453397e-01  -2.5019299252043092e-01  -7.0784396884420175e-01  -3.5893687356785198e-01
 1.3111406459084918e-01  -2.4778767303362370e-01  -7.0841432135384508e-01  -3.5923866363355728e-01
 1.3111406459084923e-01  -2.4778767303362378e-01  -7.0841432135384519e-01  -3.5923866363355728e-01
 1.3006066290098156e-01  -2.4578930075764197e-01  -7.0888422754149527e-01  -3.5948731304145998e-01
 1.2776226005524136e-01  -2.4142921596289027e-01  -7.0989699293086328e-01  -3.6002324125845442e-01
 1.2462706495828070e-01  -2.3548202733820109e-01  -7.1125068875099484e-01  -3.6073963958791960e-01
 1.2119921189452583e-01  -2.2898007501233594e-01  -7.1269384141416592e-01  -3.6150345841943143e-01
 1.1807124418286098e-01  -2.2304728931422765e-01  -7.1397690554487558e-01  -3.6218261947030317e-01
 1.1578250686731036e-01  -2.1870647651499672e-01  -7.1489516505465389e-01  -3.6266872386446281e-01
 1.1473476479972840e-01  -2.1671939474854790e-01  -7.1530970895703239e-01  -3.6288818609040879e-01
 1.1473476479972855e-01  -2.1671939474854801e-01  -7.1530970895703316e-01  -3.6288818609040918e-01
 1.1386407587358460e-01  -2.1506813253402343e-01  -7.1565141429507284e-01  -3.6306909322673786e-01
 1.1196373781920448e-01  -2.1146424634322653e-01  -7.1638840617152677e-01  -3.6345929402432481e-01
 1.0937025117140514e-01  -2.0654610062716017e-01  -7.1737467754764817e-01  -3.6398151891177788e-01
 1.0653304662756145e-01  -2.0116616250399003e-01  -7.1842770990199911e-01  -3.6453915040408502e-01
 1.0394267126330962e-01  -1.9625461366236949e-01  -7.1936540150080630e-01  -3.6503575589247644e-01
 1.0204654425872653e-01  -1.9265956752895930e-01  -7.2003739417273371e-01  -3.6539167824066421e-01
 1.0117834839934696e-01  -1.9101348777462102e-01  -7.2034102299014824e-01  -3.6555250510336390e-01
 1.0117834839934696e-01  -1.9101348777462102e-01  -7.2034102299014824e-01  -3.6555250510336390e-01
 1.0045678808153542e-01  -1.8964541780852312e-01  -7.2059142801212173e-01  -3.6568514471791108e-01
 9.8881727660427007e-02  -1.8665903649000515e-01  -7.2113190294767060e-01  -3.6597144870048226e-01
 9.6731834316549498e-02  -1.8258231041580808e-01  -7.2185608105516896e-01  -3.6635509754136159e-01
 9.4379695040787595e-02  -1.7812092122894485e-01  -7.2263047826545446e-01  -3.6676539641109990e-01
 9.2232110869027745e-02  -1.7404583081478001e-01  -7.2332116903487520e-01  -3.6713139046446636e-01
 9.0659974671889382e-02  -1.7106139663036179e-01  -7.2381683658982021e-01  -3.6739407295143189e-01
 8.9940028753176721e-02  -1.6969434609517733e-01  -7.2404099254887899e-01  -3.6751287524235488e-01
 8.9940028753176721e-02  -1.6969434609517733e-01  -7.2404099254887899e-01  -3.6751287524235488e-01
 8.9341597623155841e-02  -1.6855788473501487e-01  -7.2422595054245487e-01  -3.6761090731700430e-01
 8.8034906019807069e-02  -1.6607607865766286e-01  -7.2462546442043452e-01  -3.6782267411920400e-01
 8.6249796032382031e-02  -1.6268576438751400e-01  -7.2516143683866296e-01  -3.6810680635493792e-01
 8.4293137983000116e-02  -1.5897249915115311e-01  -7.2573546666517241e-01  -3.6841115726421780e-01
 8.2501252957840165e-02  -1.5557890362158006e-01  -7.2624827192419283e-01  -3.6868307932724392e-01
 8.1184953733906356e-02  -1.5309370053634730e-01  -7.2661679072323460e-01  -3.6887850227670232e-01
 8.0580635743515164e-02  -1.5195579387693317e-01  -7.2678359325645714e-01  -3.6896695658615225e-01
 8.0580635743515164e-02  -1.5195579387693317e-01  -7.2678359325645714e-01  -3.6896695658615225e-01
 8.0077526794568130e-02  -1.5101022887254953e-01  -7.2692129885300694e-01  -3.6903997978766939e-01
 7.8976400372275851e-02  -1.4894721856969304e-01  -7.2721897640108379e-01  -3.6919782562334191e-01
 7.7466596099205517e-02  -1.4613566646568099e-01  -7.2761885487352196e-01  -3.6940983030203145e-01
 7.5806201666942671e-02  -1.4307033658160898e-01  -7.2804786530327592e-01  -3.6963720024438579e-01
 7.4284995574090212e-02  -1.4028761317516053e-01  -7.2843185205909988e-01  -3.6984059612568543e-01
