1.777109467826313E-01  7.596891433226524E-03
1.165867404154607E+00  6.609126196220550E-05
9.794340917915809E-01 -1.992447407811861E-02
9.628544979448195E-01 -3.551174354146113E-02
9.463560802377534E-01 -5.097331973604750E-02
9.297026973082226E-01 -6.614300020956951E-02
9.134728008203670E-01 -8.133958724198186E-02
2.456896022473044E-01 -8.214801906333821E-02
8.970623321017128E-01 -9.603430886296567E-02
8.815739436530429E-01 -1.112960521979711E-01
8.658432313002397E-01 -1.260327092364302E-01
1.320303473330233E-01 -1.335807086232035E-01
8.508112670769360E-01 -1.422144311252890E-01
3.337201433496642E-01 -1.467551250908992E-01
8.351742918640654E-01 -1.575111597024962E-01
8.197962152286847E-01 -1.743703360427652E-01
2.562045122606396E-01 -1.765448925470348E-01
8.039053069616716E-01 -1.898641223374687E-01
4.136265892643061E-01 -1.922295625842639E-01
7.881907093648632E-01 -2.069381633959837E-01
3.592250987817968E-01 -2.159060871520631E-01
7.721219879499069E-01 -2.224301158545610E-01
4.869460060412725E-01 -2.280874063638472E-01
7.562001844560320E-01 -2.395797107104166E-01
4.475669655065937E-01 -2.513455617569191E-01
